GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
courses,edu.ucsb.cs156.courses.controllers,CSRFController,0,5,0,0,0,2,0,2,0,2
courses,edu.ucsb.cs156.courses.controllers,GradeHistoryController,0,18,0,0,0,5,0,3,0,3
courses,edu.ucsb.cs156.courses.controllers,ApiController,0,33,0,0,0,10,0,6,0,6
courses,edu.ucsb.cs156.courses.controllers,PersonalSectionsController,0,82,0,2,0,18,0,5,0,4
courses,edu.ucsb.cs156.courses.controllers,UserInfoController,0,6,0,0,0,2,0,2,0,2
courses,edu.ucsb.cs156.courses.controllers,PersonalSchedulesController,0,263,0,4,0,61,0,19,0,17
courses,edu.ucsb.cs156.courses.controllers,UCSBFinalExamController,0,22,0,0,0,5,0,3,0,3
courses,edu.ucsb.cs156.courses.controllers,UCSBCurriculumController,0,23,0,0,0,5,0,3,0,3
courses,edu.ucsb.cs156.courses.controllers,CourseOverTimeBuildingController,0,28,0,0,0,7,0,3,0,3
courses,edu.ucsb.cs156.courses.controllers,UCSBSectionsController,0,33,0,0,0,7,0,4,0,4
courses,edu.ucsb.cs156.courses.controllers,UsersController,0,16,0,0,0,4,0,2,0,2
courses,edu.ucsb.cs156.courses.controllers,PSCourseController,0,545,0,34,0,122,0,38,0,21
courses,edu.ucsb.cs156.courses.controllers,CourseOverTimeInstructorController,0,44,0,2,0,12,0,4,0,3
courses,edu.ucsb.cs156.courses.controllers,SystemInfoController,0,7,0,0,0,2,0,2,0,2
courses,edu.ucsb.cs156.courses.controllers,CourseOverTimeController,0,93,0,2,0,16,0,5,0,4
courses,edu.ucsb.cs156.courses.controllers,JobsController,0,87,0,0,0,20,0,9,0,9
courses,edu.ucsb.cs156.courses.controllers,UCSBSubjectsController,0,109,0,0,0,26,0,10,0,10
courses,edu.ucsb.cs156.courses.documents,Course,0,4,0,0,0,1,0,1,0,1
courses,edu.ucsb.cs156.courses.documents,CoursePage,0,93,0,4,0,23,0,5,0,3
courses,edu.ucsb.cs156.courses.documents,TimeLocation,0,3,0,0,0,1,0,1,0,1
courses,edu.ucsb.cs156.courses.documents,CourseInfo,0,6,0,0,0,2,0,1,0,1
courses,edu.ucsb.cs156.courses.documents,ConvertedSection,0,37,0,2,0,10,0,2,0,1
courses,edu.ucsb.cs156.courses.documents,Instructor,0,3,0,0,0,1,0,1,0,1
courses,edu.ucsb.cs156.courses.documents,FinalExam,0,6,0,0,0,2,0,1,0,1
courses,edu.ucsb.cs156.courses.documents,Section,0,6,0,0,0,2,0,1,0,1
courses,edu.ucsb.cs156.courses.jobs,TestJob,0,31,0,4,0,10,0,3,0,1
courses,edu.ucsb.cs156.courses.jobs,UpdateCourseDataJob,0,152,0,8,0,40,0,6,0,2
courses,edu.ucsb.cs156.courses.jobs,UpdateCourseDataJobFactory,0,81,0,2,0,16,0,8,0,7
courses,edu.ucsb.cs156.courses.jobs,UpdateFinalsDataJob,0,103,0,4,0,27,0,4,0,2
courses,edu.ucsb.cs156.courses.jobs,UploadGradeDataJobFactory,0,11,0,0,0,2,0,2,0,2
courses,edu.ucsb.cs156.courses.jobs,UpdateFinalsDataJobFactory,0,13,0,0,0,2,0,2,0,2
courses,edu.ucsb.cs156.courses.jobs,UploadGradeDataJob,0,127,0,8,0,34,0,7,0,3
courses,edu.ucsb.cs156.courses.errors,EntityNotFoundException,0,17,0,0,0,2,0,1,0,1
courses,edu.ucsb.cs156.courses.errors,BadEnrollCdException,0,12,0,0,0,3,0,1,0,1
courses,edu.ucsb.cs156.courses.entities,GradeHistory,0,23,0,4,0,4,0,4,0,2
courses,edu.ucsb.cs156.courses.models,Quarter,0,412,0,43,0,81,0,43,0,21
courses,edu.ucsb.cs156.courses.services,UCSBSubjectsService,0,58,0,0,0,15,0,3,0,3
courses,edu.ucsb.cs156.courses.services,SystemInfoServiceImpl,0,33,0,0,0,11,0,3,0,3
courses,edu.ucsb.cs156.courses.services,GrantedAuthoritiesService,0,21,0,0,0,7,0,3,0,3
courses,edu.ucsb.cs156.courses.services,UCSBSubjectsService.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
courses,edu.ucsb.cs156.courses.services,UCSBGradeHistoryServiceImpl,0,205,0,6,0,51,0,11,0,8
courses,edu.ucsb.cs156.courses.services,SystemInfoService,0,3,0,0,0,1,0,1,0,1
courses,edu.ucsb.cs156.courses.services,CurrentUserService,0,10,0,2,0,2,0,3,0,2
courses,edu.ucsb.cs156.courses.services,UCSBCurriculumService,0,776,0,6,0,178,0,14,0,11
courses,edu.ucsb.cs156.courses.utilities,CourseUtilities,0,68,0,2,0,12,0,2,0,1
courses,edu.ucsb.cs156.courses.services.jobs,JobService,0,53,0,0,0,15,0,3,0,3
courses,edu.ucsb.cs156.courses.services.jobs,JobContext,0,48,0,4,0,6,0,4,0,2
