Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,<init>,17,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_setValue_bad_input()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,decrement,96,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_decrement_W20()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,decrement,97,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_decrement_W20()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,decrement,99,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_decrement_W20()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,decrement,99,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_decrement_W20()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,decrement,99,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_decrement_W20()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,decrement,99,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_decrement_F19()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,decrement,99,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_decrement_F19()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,decrement,99,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_decrement_F19()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.returns.PrimitiveReturnsMutator,decrement,100,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_decrement_F19()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,equals,207,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:testQuarter_notEqualNull()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,equals,208,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:testQuarter_notEqualNull()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,equals,212,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:testQuarter_equalsCopy()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanFalseReturnValsMutator,equals,207,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:testQuarter_equalsSelf()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,equals,209,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:testQuarter_notEqualNull()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,equals,212,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:testQuarter_notequalsCopy()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,getQ,69,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_getQ()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,getQ,154,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_yyyyqToQyy()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,getQ,155,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_yyyyqToQyy()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,getQ,149,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_getQ_badLastDigit()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,getQ,155,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_yyyyqToQyy()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.returns.PrimitiveReturnsMutator,getValue,21,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_constructor_20201_String()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,getYY,53,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_getYY()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,getYY,171,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_yyyyqToQyy()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,getYY,171,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_yyyyqToQyy()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,getYY,167,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_getYY_badLastDigit()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,getYY,171,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_yyyyqToQyy()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,getYYYY,57,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_getYYYY()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,getYYYY,187,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_getYYYY()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,getYYYY,183,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_getYYYY()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,getYYYY,187,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_getYYYY()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,getYYYYQ,61,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_getYYYYQ()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.returns.PrimitiveReturnsMutator,hashCode,217,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_hashCode2()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,increment,83,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_increment_F19()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,increment,84,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_increment_F19()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,increment,86,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_increment_F19()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,increment,86,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_increment_F19()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,increment,86,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_increment_F19()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,increment,86,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_increment_M20()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,increment,86,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_increment_F19()]
Quarter.java,edu.ucsb.cs156.courses.models.Quarter,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,increment,86,KILLED,edu.ucsb.cs156.courses.models.QuarterTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.models.QuarterTests]/[method:test_increment_F19()]
